Sample;P1handcategory;P1handrank;P1coin;P1averageraise;P1raiseratio;P2handcategory;P2handrank;P2coin;P2averageraise;P2raiseratio;P1action1;P1raisecoin1;P2action1;P2raisecoin1;P1action2;P1raisecoin2;P2action2;P2raisecoin2;P1action3;P1raisecoin3;P2action3;P2raisecoin3;P1action4;P1raisecoin4;P2action4;P2raisecoin4;P1numberofraises;P2numberofraises;P1finalaction;P2finalaction
0;TwoPairs;J;35;12,5;0,714285714285714;straightflush;4;406;30;0,073891625615764;Raise;5;Raise;10;Raise;20;Call;20;;;;;;;;;2;1;Raise;Call
1;flush;K;320;51;0,31875;TwoPairs;A;120;43,5;0,725;Raise;5;Raise;10;Raise;20;Raise;77;Call;77;;;;;;;2;2;Call;Raise
2;HighCard;A;230;12,5;0,108695652173913;straight;6;357;30;0,084033613445378;Raise;5;Raise;10;Raise;20;Call;20;;;;;;;;;2;1;Raise;Call
3;HighCard;4;173;46;0,531791907514451;flush;A;374;97;0,259358288770053;Raise;5;Raise;10;Raise;87;Call;87;;;;;;;;;2;1;Raise;Call
4;fullhouse;T;447;32,5;0,145413870246085;TwoPairs;A;195;25;0,256410256410256;Raise;5;Raise;10;Raise;20;Raise;40;Call;40;;;;;;;2;2;Call;Raise
5;OnePair;9;486;12,5;0,051440329218107;TwoPairs;J;220;25;0,227272727272727;Raise;5;Raise;10;Raise;20;Raise;40;Fold;0;;;;;;;2;2;Fold;Raise
6;OnePair;J;216;4;0,037037037037037;straightflush;T;495;8;0,032323232323232;Raise;5;Raise;10;Raise;3;Raise;6;Fold;0;;;;;;;2;2;Fold;Raise
7;OnePair;9;297;12,5;0,084175084175084;straightflush;A;476;25;0,105042016806723;Raise;5;Raise;10;Raise;20;Raise;40;Fold;0;;;;;;;2;2;Fold;Raise
8;HighCard;T;109;28,5;0,522935779816514;TwoPairs;K;485;485;1;Raise;5;Raise;10;Raise;52;AllIn;475;;;;;;;;;2;1;Raise;AllIn
9;3ofakind;T;242;12,5;0,103305785123967;TwoPairs;Q;156;30;0,192307692307692;Raise;5;Raise;10;Raise;20;Call;20;;;;;;;;;2;1;Raise;Call
10;TwoPairs;T;129;32,5;0,503875968992248;fullhouse;J;427;25;0,117096018735363;Raise;5;Raise;10;Raise;20;Raise;40;Call;40;;;;;;;2;2;Call;Raise
11;HighCard;K;330;12,5;0,075757575757576;HighCard;A;123;10;0,08130081300813;Raise;5;Raise;10;Raise;20;Fold;0;;;;;;;;;2;1;Raise;Fold
12;OnePair;6;285;12,5;0,087719298245614;OnePair;7;243;10;0,041152263374486;Raise;5;Raise;10;Raise;20;Fold;0;;;;;;;;;2;1;Raise;Fold
13;straight;8;367;12,5;0,068119891008174;TwoPairs;T;80;30;0,375;Raise;5;Raise;10;Raise;20;Call;20;;;;;;;;;2;1;Raise;Call
14;TwoPairs;T;370;12,5;0,067567567567568;TwoPairs;A;360;30;0,083333333333333;Raise;5;Raise;10;Raise;20;Call;20;;;;;;;;;2;1;Raise;Call
15;HighCard;2;142;33;0,464788732394366;3ofakind;4;327;71;0,217125382262997;Raise;5;Raise;10;Raise;61;Call;61;;;;;;;;;2;1;Raise;Call
16;TwoPairs;Q;170;12,5;0,147058823529412;3ofakind;9;469;25;0,106609808102345;Raise;5;Raise;10;Raise;20;Raise;40;Fold;0;;;;;;;2;2;Fold;Raise
17;OnePair;A;130;29;0,446153846153846;fullhouse;A;269;63;0,234200743494424;Raise;5;Raise;10;Raise;53;Call;53;;;;;;;;;2;1;Raise;Call
18;straight;5;362;12,5;0,069060773480663;HighCard;Q;160;10;0,0625;Raise;5;Raise;10;Raise;20;Fold;0;;;;;;;;;2;1;Raise;Fold
