,Chips,Current_Bet,Draws,Last_Action,Last_Action_Bet
0,190,10,0,-1,0
0,180,10,0,1,0
0,180,10,1,1,0
0,170,10,0,-1,0
0,160,20,1,2,20
0,150,10,0,1,0
0,139,21,1,1,0
0,227,10,0,-1,0
0,190,10,0,1,0
0,180,10,0,1,0
0,0,0,0,-1,0
0,0,0,0,-1,0
0,0,0,0,-1,0
0,0,0,0,-1,0
0,0,0,0,-1,0
0,0,0,0,-1,0
0,0,0,0,-1,0
0,0,0,0,-1,0
0,0,0,0,-1,0
0,0,0,0,-1,0
0,0,0,0,-1,0
0,0,0,0,-1,0
0,0,0,0,-1,0
0,0,0,0,-1,0
0,190,10,0,-1,0
0,179,21,1,2,21
0,161,10,0,-1,0
0,107,10,0,-1,0
0,117,10,0,1,0
0,244,10,0,-1,0
0,254,10,0,-1,0
0,264,20,0,-1,0
0,304,20,0,-1,0
0,188,20,0,-1,0
0,179,29,1,2,29
0,190,10,0,-1,0
0,200,10,0,1,0
0,200,10,1,1,0
0,183,10,0,-1,0
0,183,10,1,1,0
0,173,10,0,1,0
0,190,10,0,-1,0
0,218,10,0,-1,0
0,218,10,1,1,0
0,190,10,0,1,0
0,209,10,0,-1,0
0,195,24,1,4,24
0,176,10,0,-1,0
0,176,10,1,1,0
0,358,10,0,-1,0
0,190,10,0,1,0
0,180,10,0,-1,0
0,180,10,1,1,0
0,161,10,0,1,0
0,332,10,0,-1,0
0,264,0,0,-1,0
0,274,10,0,-1,0
0,301,10,0,-1,0
0,190,10,0,-1,0
0,180,10,0,1,0
0,150,10,0,-1,0
0,200,10,0,-1,0
0,174,10,0,-1,0
0,180,10,0,-1,0
0,223,10,0,-1,0
0,190,10,0,-1,0
0,22,10,0,-1,0
0,36,10,0,1,0
0,36,10,1,1,0
0,26,10,0,-1,0
0,16,10,0,1,0
0,6,10,0,-1,0
0,180,10,0,-1,0
0,160,10,0,-1,0
0,140,10,0,-1,0
0,180,10,0,-1,0
0,160,10,0,-1,0
0,140,10,0,-1,0
0,190,10,0,1,0
0,200,10,0,-1,0
0,200,10,0,-1,0
0,180,10,0,-1,0
0,160,10,0,-1,0
0,140,10,0,-1,0
0,100,20,0,-1,0
0,60,20,0,-1,0
0,20,20,0,-1,0
0,200,10,0,-1,0
0,188,10,0,-1,0
0,188,10,1,1,0
0,168,10,0,-1,0
0,148,10,0,-1,0
0,128,10,0,-1,0
0,88,20,0,-1,0
0,48,20,0,-1,0
0,8,20,0,-1,0
0,180,10,0,-1,0
0,160,10,0,-1,0
0,140,10,0,-1,0
0,180,10,0,-1,0
0,160,10,0,-1,0
0,140,10,0,-1,0
0,120,10,0,-1,0
0,190,10,0,-1,0
0,190,10,0,-1,0
0,370,10,0,-1,0
0,329,10,0,-1,0
0,350,10,0,-1,0
0,345,15,1,2,15
0,310,10,0,1,0
0,247,20,0,1,0
0,218,10,0,-1,0
0,216,12,1,2,12
0,152,10,0,-1,0
0,238,10,0,-1,0
0,170,10,0,-1,0
0,150,10,0,-1,0
0,130,10,0,-1,0
0,110,10,0,-1,0
0,80,20,0,-1,0
0,40,20,0,-1,0
0,190,10,0,-1,0
0,180,10,0,-1,0
0,160,10,0,-1,0
0,140,10,0,-1,0
0,180,10,0,-1,0
0,160,10,0,-1,0
0,140,10,0,-1,0
0,180,10,0,-1,0
0,160,10,0,-1,0
0,200,10,0,-1,0
0,156,54,1,2,54
0,156,10,0,-1,0
0,156,10,1,1,0
0,131,10,0,-1,0
0,190,10,0,1,0
0,180,10,0,-1,0
0,178,10,0,-1,0
0,178,10,1,1,0
0,174,24,1,1,0
0,162,10,0,-1,0
0,200,0,0,1,0
0,180,10,0,-1,0
0,170,10,0,1,0
0,167,13,1,1,0
0,350,10,0,-1,0
0,360,10,0,1,0
0,360,10,1,1,0
0,200,0,0,1,0
0,166,10,0,-1,0
0,156,10,0,1,0
0,200,10,0,-1,0
0,190,10,0,1,0
0,146,10,0,-1,0
0,190,10,0,1,0
0,208,10,0,-1,0
0,26,10,0,1,0
0,26,10,1,1,0
0,16,10,0,-1,0
0,22,10,0,-1,0
0,12,10,0,1,0
0,2,10,0,-1,0
0,0,0,0,-1,0
