,Action_Performed,Action_Performed_Bet,Ante,Chips,Current_Bet,Draws,Five_Card_Rank_Percentage,Hand_Class,Hand_Rank,Last_Action,Last_Action_Bet,Round_Result,Round_Result_Chips
0,0,0,10,-43,16,0,0.9572500670061646,0,7143,3,16,0,-16
0,0,0,10,-43,0,0,0.4638166711337443,1,3461,-1,0,0,0
0,0,0,10,190,10,3,0.7646743500402037,1,5706,1,0,0,-10
0,0,0,10,180,10,0,0.9167783436076119,0,6841,1,0,0,-10
0,5,190,10,190,10,0,0.3989547038327526,2,2977,-1,0,1,24
0,5,0,10,0,0,0,0.5463682658804611,1,4077,1,0,0,0
0,5,0,10,0,0,0,0.396274457250067,2,2957,-1,0,1,94
0,0,0,10,190,10,0,0.853256499597963,0,6367,-1,0,0,-10
0,5,190,10,190,10,0,0.9639506834628786,0,7193,-1,0,0,-200
0,4,39,10,179,21,5,0.3410613776467435,2,2545,1,0,1,39
0,0,0,10,229,10,0,0.8559367461806486,0,6387,-1,0,0,-10
0,4,28,10,229,10,0,0.8653176092200482,0,6457,-1,0,1,44
0,2,42,10,211,28,0,0.8653176092200482,0,6457,4,28,1,44
0,5,197,10,197,42,3,0.8310104529616724,0,6201,2,42,1,44
0,0,0,10,273,10,0,0.9135620477083892,0,6817,1,0,0,-10
0,5,256,10,256,17,0,0.9691771642991155,0,7232,3,17,0,-273
0,0,0,10,136,10,0,0.6992763334226749,1,5218,-1,0,0,-10
0,0,0,10,126,10,0,0.945993031358885,0,7059,1,0,0,-10
0,0,0,10,116,10,0,0.9071294559099438,0,6769,-1,0,0,-10
0,0,0,20,106,10,0,0.454569820423479,1,3392,1,0,0,-10
0,0,0,20,86,20,0,0.8123827392120075,1,6062,-1,0,0,-20
0,5,76,20,76,20,0,0.5958188153310104,1,4446,-1,0,1,96
0,4,51,20,163,29,3,0.6110962208523184,1,4560,1,0,1,86
0,4,86,20,141,51,3,0.6110962208523184,1,4560,4,51,1,86
0,5,258,20,258,20,0,0.8496381667113374,0,6340,-1,0,1,122
0,0,0,10,190,10,0,0.47775395336370946,1,3565,1,0,0,-10
0,0,0,10,190,10,0,0.8559367461806486,0,6387,-1,0,0,-10
0,0,0,10,182,18,0,0.4930313588850174,1,3679,3,18,0,-18
0,0,0,10,172,10,0,0.573170731707317,1,4277,-1,0,0,-10
0,5,162,10,162,10,3,0.4132940230501206,2,3084,1,0,0,-172
0,0,0,10,181,19,1,0.3629053872956312,2,2708,3,19,0,-19
0,2,24,10,165,16,0,0.8678638434735996,0,6476,3,16,1,43
0,5,151,10,151,30,4,0.44987938890377915,1,3357,3,30,1,43
0,0,0,10,214,10,0,0.9145001340123291,0,6824,-1,0,0,-10
0,0,0,10,204,10,3,0.7164299115518628,1,5346,1,0,0,-10
0,5,194,10,194,10,0,0.9796301259715894,0,7310,-1,0,0,-204
0,5,0,10,0,0,0,0.9600643259179844,0,7164,-1,0,1,32
0,5,22,10,22,10,0,0.9971857410881801,0,7441,1,0,1,32
0,2,13,10,54,10,0,0.9977217904047172,0,7445,-1,0,0,-13
0,0,0,10,51,13,5,0.5519967837041008,1,4119,2,13,0,-13
