,Action_Performed,Action_Performed_Bet,Ante,Chips,Current_Bet,Draws,Five_Card_Rank_Percentage,Hand_Class,Hand_Rank,Last_Action,Last_Action_Bet,Round_Result,Round_Result_Chips
0,5,150,10,150,20,3,0.6337443044760118,1,4729,4,20,1,54
0,1,0,10,214,10,0,0.8889037791476816,0,6633,-1,0,0,-10
0,5,0,10,0,0,0,0.738541945859019,1,5511,-1,0,1,516
0,5,506,10,506,10,0,0.9451889573840794,0,7053,-1,0,1,30
0,1,0,10,536,10,0,0.8248458858214955,1,6155,-1,0,1,30
0,1,0,10,536,10,3,0.8080943446797105,1,6030,1,0,1,30
0,5,566,10,566,10,0,0.8063521844009649,1,6017,-1,0,1,30
0,1,0,10,596,10,0,0.9043151969981238,0,6748,-1,0,1,55
0,1,0,20,651,10,0,0.7053068882337175,1,5263,-1,0,0,-10
0,3,22,20,631,20,0,0.7359957116054677,1,5492,-1,0,0,-22
0,5,609,20,609,20,0,0.9774859287054409,0,7294,-1,0,1,82
0,3,26,20,691,20,0,0.9347359957116055,0,6975,-1,0,0,-26
0,1,0,20,665,20,0,0.8095684803001876,1,6041,-1,0,1,57
0,1,0,20,722,20,0,0.9374162422942911,0,6995,-1,0,1,40
0,3,30,20,802,20,0,0.9337979094076655,0,6968,-1,0,0,-30
0,3,29,20,772,20,0,0.44867327794157064,1,3348,-1,0,1,40
0,3,42,40,852,20,0,0.6514339319217368,1,4861,-1,0,0,-42
0,1,0,40,790,40,0,0.9965156794425087,0,7436,-1,0,1,80
0,3,20,10,77,10,0,0.590324309836505,1,4405,-1,0,0,-20
0,3,16,10,905,10,0,0.7436344143661217,1,5549,-1,0,1,50
0,3,14,10,25,10,0,0.7984454569820424,1,5958,-1,0,1,10
0,3,14,10,945,10,0,0.8714821763602252,0,6503,-1,0,1,24
0,3,12,10,11,10,0,0.8953363709461271,0,6681,-1,0,0,-12
0,3,16,10,8,10,0,0.5337711069418386,1,3983,-1,0,0,-16
0,3,14,10,610,10,0,0.9761458054140981,0,7284,-1,0,1,20
0,3,12,10,630,10,0,0.5931385687483248,1,4426,-1,0,0,-16
0,3,16,10,628,12,3,0.6176628249798981,1,4609,3,12,0,-16
0,3,180,10,376,178,4,0.5309568480300187,1,3962,4,178,0,-554
0,3,20,10,388,10,0,0.6022514071294559,1,4494,-1,0,0,-398
0,3,16,10,936,10,0,0.44920932725810775,1,3352,-1,0,1,10
