,Chips,Current_Bet,Draws,Last_Action,Last_Action_Bet
0,307,10,0,-1,0
0,297,20,0,0,0
0,287,10,0,-1,0
0,277,10,0,0,0
0,267,10,0,0,0
0,257,10,0,-1,0
0,257,10,0,0,0
0,247,10,0,-1,0
0,237,10,0,0,0
0,192,20,0,0,0
0,0,272,0,5,10
0,232,20,0,-1,0
0,0,232,0,0,0
0,192,20,0,0,0
0,172,20,0,-1,0
0,0,20,0,5,20
0,112,20,0,-1,0
0,-20,40,0,5,20
0,12,40,0,-1,0
0,118,10,0,-1,0
0,0,9,0,5,9
0,0,0,0,-1,0
0,0,0,0,-1,0
0,0,0,0,-1,0
0,0,0,0,-1,0
0,180,10,0,1,0
0,170,10,0,-1,0
0,170,10,0,0,0
0,12,178,1,0,0
0,-6,10,0,5,4
0,-10,10,0,-1,0
