,Action_Performed,Action_Performed_Bet,Chips,Current_Bet,Draws,Five_Card_Rank_Percentage,Hand_Class,Hand_Rank,Last_Action,Last_Action_Bet,Round_Result,Round_Result_Chips
0,0,0,190,10,0,0.9229429107477888,0,6887,-1,0,0,-10
0,4,56,564,16,0,0.7709729295095149,1,5753,3,16,0,-56
0,0,0,524,56,0,0.7709729295095149,1,5753,4,56,0,-56
0,4,32,514,10,0,0.5494505494505495,1,4100,-1,0,0,-32
0,0,0,492,32,0,0.5494505494505495,1,4100,4,32,0,-32
0,0,0,190,10,0,0.5356472795497186,1,3997,-1,0,0,-10
0,0,0,180,10,0,0.6282497989815063,1,4688,-1,0,0,-10
0,5,170,170,10,0,0.8645135352452425,0,6451,-1,0,0,-180
0,0,0,190,10,0,0.6522380058965425,1,4867,-1,0,0,-10
0,5,190,190,10,0,0.9037791476815867,0,6744,-1,0,0,-200
0,0,0,209,17,0,0.8019297775395337,1,5984,3,17,0,-17
