,Action_Performed,Action_Performed_Bet,Ante,Chips,Current_Bet,Draws,Five_Card_Rank_Percentage,Hand_Class,Hand_Rank,Last_Action,Last_Action_Bet,Round_Result,Round_Result_Chips
0,0,0,10,190,10,0,0.9132940230501206,0,6815,-1,0,0,-10
0,4,17,10,180,10,0,0.5213079603323506,1,3890,-1,0,0,-45
0,0,0,10,180,10,0,0.4907531492897347,1,3662,-1,0,0,-10
0,4,45,10,173,17,0,0.5213079603323506,1,3890,4,17,0,-45
0,0,0,10,145,45,0,0.5213079603323506,1,3890,4,45,0,-45
0,0,0,10,135,10,0,0.845617796837309,0,6310,-1,0,0,-10
0,0,0,10,170,10,0,0.8525864379522916,0,6362,-1,0,0,-10
0,0,0,10,121,14,0,0.6065398016617529,1,4526,3,14,0,-14
0,4,20,10,160,10,0,0.6408469579201287,1,4782,-1,0,1,54
0,5,111,10,111,10,0,0.6384347359957117,1,4764,-1,0,0,-121
0,0,0,10,214,10,0,0.8889037791476816,0,6633,1,0,0,-10
0,5,204,10,204,10,0,0.9753417314392924,0,7278,-1,0,0,-214
0,4,35,10,596,10,3,0.5138032699008309,1,3834,1,0,1,55
0,0,0,20,651,10,0,0.7053068882337175,1,5263,1,0,0,-10
0,4,40,10,190,10,0,0.8387831680514607,0,6259,-1,0,0,-40
0,4,62,10,190,10,0,0.6594746716697936,1,4921,-1,0,1,312
0,0,0,10,160,40,0,0.8387831680514607,0,6259,4,40,0,-40
0,5,138,10,138,62,0,0.6594746716697936,1,4921,4,62,1,312
0,4,18,10,150,10,0,0.9876708657196462,0,7370,-1,0,0,-73
0,4,31,10,502,10,0,0.8639774859287055,0,6447,-1,0,1,254
0,4,73,10,142,18,0,0.9876708657196462,0,7370,4,18,0,-73
0,4,99,10,481,31,0,0.8639774859287055,0,6447,4,31,1,254
0,4,165,10,413,99,0,0.8639774859287055,0,6447,4,99,1,254
0,0,0,10,87,73,0,0.9876708657196462,0,7370,4,73,0,-73
0,4,183,10,347,165,3,0.5097829000268025,1,3804,4,165,1,254
0,4,34,10,756,10,0,0.8531224872688288,0,6366,-1,0,1,149
0,4,86,10,732,34,0,0.8531224872688288,0,6366,4,34,1,149
0,0,0,10,67,20,0,0.590324309836505,1,4405,3,20,0,-20
0,4,156,10,680,86,0,0.8531224872688288,0,6366,4,86,1,149
0,4,32,10,57,10,0,0.790136692575717,1,5896,-1,0,0,-32
0,0,0,10,35,32,0,0.790136692575717,1,5896,4,32,0,-32
0,5,899,10,899,16,0,0.7436344143661217,1,5549,3,16,1,50
0,0,0,10,955,10,0,0.7183060841597427,1,5360,-1,0,0,-10
0,4,24,10,35,10,0,0.9659608683998928,0,7208,-1,0,0,-24
0,4,40,10,941,14,0,0.8714821763602252,0,6503,3,14,1,24
0,0,0,10,21,24,0,0.9659608683998928,0,7208,4,24,0,-24
0,4,18,10,969,10,0,0.89386223532565,0,6670,-1,0,1,12
0,0,0,10,9,12,0,0.8953363709461271,0,6681,3,12,0,-12
0,4,30,10,971,10,0,0.9299115518627714,0,6939,-1,0,1,16
0,0,0,10,2,16,0,0.5337711069418386,1,3983,3,16,0,-16
0,5,190,10,190,10,0,0.7102653444116859,1,5300,-1,0,0,-200
0,5,190,10,190,10,0,0.48659876708657196,1,3631,-1,0,1,420
0,4,55,10,190,10,0,0.8771106941838649,0,6545,-1,0,1,354
0,4,37,10,190,10,0,0.9473331546502278,0,7069,-1,0,0,-97
0,4,121,10,145,55,0,0.8771106941838649,0,6545,4,55,1,354
0,4,97,10,163,37,0,0.9473331546502278,0,7069,4,37,0,-97
0,5,79,10,79,121,4,0.34722594478692037,2,2591,4,121,1,354
0,0,0,10,103,97,0,0.9473331546502278,0,7069,4,97,0,-97
0,5,93,10,93,10,0,0.3935942106673814,2,2937,-1,0,0,-103
0,4,178,10,544,10,0,0.9462610560171536,0,7061,-1,0,0,-554
0,5,374,10,374,180,4,0.5309568480300187,1,3962,3,180,0,-554
0,5,0,10,0,0,0,0.2767354596622889,3,2065,-1,0,1,946
0,5,378,10,378,20,0,0.6022514071294559,1,4494,3,20,0,-398
0,4,26,10,946,10,0,0.9073974805682122,0,6771,-1,0,1,39
0,4,62,10,930,26,0,0.9073974805682122,0,6771,4,26,1,39
