,Chips,Current_Bet,Draws,Last_Action,Last_Action_Bet
0,190,10,0,-1,0
0,173,17,0,4,17
0,180,10,0,-1,0
0,180,10,0,0,0
0,180,10,0,0,0
0,170,10,0,-1,0
0,135,10,0,0,0
0,150,20,0,4,20
0,121,14,0,3,14
0,214,10,0,1,0
0,0,121,0,5,121
0,0,272,0,5,272
0,0,0,0,-1,0
0,0,0,0,-1,0
0,190,10,0,-1,0
0,160,40,0,4,40
0,160,40,0,0,0
0,138,62,0,4,62
0,502,10,0,-1,0
0,142,18,0,4,18
0,481,31,0,4,31
0,87,73,0,4,73
0,413,99,0,4,99
0,87,73,0,0,0
0,87,73,5,0,0
0,67,20,0,3,20
0,732,34,0,4,34
0,67,20,0,0,0
0,67,20,0,0,0
0,899,16,0,3,16
0,0,915,0,5,915
0,35,32,0,4,32
0,21,14,0,3,14
0,941,14,0,3,14
0,915,40,0,4,40
0,21,24,0,4,24
0,9,12,0,3,12
0,961,18,0,4,18
0,2,16,0,3,16
0,952,30,0,4,30
0,0,200,0,5,200
0,190,10,0,-1,0
0,163,37,0,4,37
0,190,10,0,-1,0
0,103,97,0,4,97
0,145,55,0,4,55
0,79,121,0,4,121
0,103,97,4,0,0
0,544,10,0,-1,0
0,0,103,0,5,103
0,0,103,1,5,103
0,378,20,0,3,20
0,0,534,0,5,534
0,0,0,0,-1,0
0,0,0,0,-1,0
